NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
601,경인양행,4995,하락105,-2.06%,500,2079,41616,3.79,102337,14.48,6.07
602,KBSTAR 200TR,17915,하락15,-0.08%,0,2078,11600,0.00,1076,N/A,N/A
603,아모레G3우(전환),29100,하락400,-1.36%,500,2064,7092,4.75,101,44.91,N/A
604,LG우,67900,하락700,-1.02%,5000,2052,3022,44.46,4540,5.50,N/A
605,서연,8680,하락50,-0.57%,500,2038,23480,4.90,22332,3.09,13.14
606,삼성전기우,69900,하락100,-0.14%,5000,2032,2907,6.82,1119,5.53,N/A
607,한솔테크닉스,6320,하락110,-1.71%,5000,2029,32110,7.90,18425,13.80,5.04
608,선진,8500,하락100,-1.16%,500,2021,23780,12.50,7181,8.72,5.64
609,예스코홀딩스,33600,상승300,+0.90%,5000,2016,6000,10.27,311,-20.23,-2.05
610,ACE 단기통안채,101290,상승25,+0.02%,0,2016,1990,0.00,5635,N/A,N/A
611,경농,10290,상승110,+1.08%,500,2009,19523,0.89,5531,7.48,12.08
612,대성산업,4435,하락30,-0.67%,5000,2006,45235,2.46,49684,-16.86,-2.12
613,신한서부티엔디리츠,3575,0,0.00%,1000,2000,55956,1.07,4093,36.86,2.02
614,태림포장,2795,하락5,-0.18%,500,1979,70806,1.08,8850,11.36,5.25
615,삼성제약,2930,상승40,+1.38%,500,1968,67162,4.76,80545,-7.83,-21.83
616,CJ제일제당 우,148200,상승600,+0.41%,5000,1967,1327,30.10,852,4.07,N/A
617,디아이씨,5020,하락100,-1.95%,500,1952,38889,1.68,374212,64.36,3.12
618,삼성 인버스 2X WTI원유 선물 ETN,130,상승10,+8.33%,0,1946,1497000,0.00,4660950,N/A,N/A
619,백산,8310,하락90,-1.07%,500,1946,23415,2.86,20951,4.44,27.95
620,KSS해운,8400,하락80,-0.94%,500,1939,23086,6.24,10756,4.27,12.14
621,한세예스24홀딩스,4815,상승70,+1.48%,500,1926,40000,2.52,7862,9.03,4.80
622,KODEX 미국채울트라30년선물(H),8915,하락5,-0.06%,0,1917,21500,0.63,423841,N/A,N/A
623,삼영전자,9540,하락20,-0.21%,500,1908,20000,39.72,2459,10.50,3.52
624,세종공업,6840,하락60,-0.87%,500,1903,27821,4.56,31835,110.32,0.43
625,ARIRANG 코스피TR,13585,하락5,-0.04%,0,1902,14000,0.01,201,N/A,N/A
626,ARIRANG 고배당주,12355,0,0.00%,0,1901,15390,0.11,19699,N/A,N/A
627,JW생명과학,12000,하락30,-0.25%,2500,1900,15835,2.12,1410,12.70,11.01
628,LS네트웍스,2405,하락10,-0.41%,5000,1895,78803,0.15,6483,-80.17,-0.43
629,진흥기업,1298,하락11,-0.84%,500,1888,145472,1.34,203604,3.84,25.05
630,제일파마홀딩스,11690,하락50,-0.43%,500,1867,15973,10.15,601,-2.50,-19.90
631,KBSTAR IT플러스,17820,하락115,-0.64%,0,1850,10380,0.01,1965,N/A,N/A
632,ACE 베트남VN30(합성),17105,하락100,-0.58%,0,1847,10800,0.22,8806,N/A,N/A
633,유수홀딩스,7000,하락40,-0.57%,2500,1823,26042,18.12,5332,6.27,8.97
634,동아지질,12960,하락130,-0.99%,500,1821,14053,5.02,7076,-7.95,-10.71
635,강남제비스코,27900,하락1050,-3.63%,1000,1814,6500,9.98,17770,29.31,1.04
636,TIGER Fn메타버스,8215,하락110,-1.32%,0,1811,22050,0.43,46329,N/A,N/A
637,삼화페인트,6630,하락70,-1.04%,500,1804,27203,5.98,54771,32.18,1.89
638,TIGER 25-10 회사채(A+이상)액티브,50220,0,0.00%,0,1800,3584,0.00,55893,N/A,N/A
639,진양홀딩스,3220,하락20,-0.62%,500,1800,55895,1.92,6813,7.35,7.41
640,STX중공업,6270,상승20,+0.32%,2500,1790,28553,2.79,128909,12.57,8.17
641,HANARO MSCI Korea TR,14205,0,0.00%,0,1790,12600,0.00,0,N/A,N/A
